Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,230.72000099999997,231.38000499999998,219.0,223.41000400000001,223.41000400000001,6827100
2016-01-05,226.36000099999998,226.88999900000002,220.0,223.42999300000002,223.42999300000002,3186800
2016-01-06,220.0,220.05000299999998,215.979996,219.039993,219.039993,3779100
2016-01-07,214.190002,218.440002,213.669998,215.649994,215.649994,3554300
2016-01-08,217.86000099999998,220.440002,210.770004,211.0,211.0,3628100
2016-01-11,214.00999500000003,214.44999700000002,203.0,207.850006,207.850006,4089700
2016-01-12,211.600006,213.74000499999997,205.309998,209.97000099999997,209.97000099999997,3091900
2016-01-13,212.00999500000003,212.649994,200.0,200.309998,200.309998,4126400
2016-01-14,202.21000700000002,210.0,193.380005,206.179993,206.179993,6490700
2016-01-15,198.970001,205.070007,197.25,204.990005,204.990005,5578600
2016-01-19,208.71000700000002,210.47000099999997,200.779999,204.720001,204.720001,4038700
2016-01-20,199.399994,201.279999,191.25,198.699997,198.699997,5838600
2016-01-21,201.550003,203.229996,195.020004,199.970001,199.970001,3166200
2016-01-22,204.800003,205.5,199.029999,202.550003,202.550003,3124100
2016-01-25,200.059998,203.570007,195.880005,196.380005,196.380005,2698700
2016-01-26,196.699997,197.820007,188.880005,193.559998,193.559998,4946800
2016-01-27,192.380005,193.259995,185.770004,188.070007,188.070007,3617200
2016-01-28,190.78999299999998,191.279999,182.41000400000001,189.699997,189.699997,4592800
2016-01-29,189.949997,193.740005,188.080002,191.199997,191.199997,2852300
2016-02-01,188.759995,199.520004,182.75,196.940002,196.940002,5297600
2016-02-02,192.419998,193.119995,180.229996,182.779999,182.779999,5773600
2016-02-03,183.58999599999999,183.940002,170.179993,173.479996,173.479996,7931400
2016-02-04,170.699997,175.979996,166.990005,175.330002,175.330002,4363900
2016-02-05,171.300003,173.0,157.740005,162.600006,162.600006,9437600
2016-02-08,157.100006,157.149994,146.0,147.990005,147.990005,9313000
2016-02-09,142.320007,159.78999299999998,141.050003,148.25,148.25,8575100
2016-02-10,150.5,154.970001,141.740005,143.669998,143.669998,10406500
2016-02-11,152.0,163.259995,147.0,150.470001,150.470001,14252400
2016-02-12,155.0,157.009995,143.699997,151.03999299999998,151.03999299999998,7235800
2016-02-16,158.699997,162.949997,154.110001,155.169998,155.169998,5593800
2016-02-17,159.0,169.33999599999999,156.679993,168.679993,168.679993,5825200
2016-02-18,172.419998,172.949997,164.770004,166.770004,166.770004,3887600
2016-02-19,163.66000400000001,167.490005,162.5,166.580002,166.580002,2959400
2016-02-22,170.119995,178.91000400000001,169.850006,177.740005,177.740005,5060100
2016-02-23,176.16000400000001,181.729996,173.679993,177.21000700000002,177.21000700000002,5984400
2016-02-24,172.75,179.5,167.83999599999999,179.0,179.0,5395600
2016-02-25,178.649994,188.520004,175.199997,187.429993,187.429993,5720500
2016-02-26,188.699997,192.0,185.0,190.33999599999999,190.33999599999999,6065100
2016-02-29,192.399994,196.350006,189.220001,191.929993,191.929993,4499000
2016-03-01,194.25,195.949997,182.699997,186.350006,186.350006,6712200
2016-03-02,183.729996,188.520004,181.5,188.33999599999999,188.33999599999999,4862400
2016-03-03,188.279999,197.419998,184.220001,195.740005,195.740005,4820500
2016-03-04,198.0,204.029999,197.5,201.03999299999998,201.03999299999998,6489100
2016-03-07,197.679993,209.699997,197.399994,205.28999299999998,205.28999299999998,5329400
2016-03-08,203.5,207.5,202.199997,202.600006,202.600006,4178700
2016-03-09,204.520004,209.369995,202.78999299999998,208.720001,208.720001,3208600
2016-03-10,210.0,213.289993,200.669998,205.179993,205.179993,5183200
2016-03-11,207.929993,209.419998,205.330002,207.5,207.5,3343100
2016-03-14,212.649994,216.72000099999997,210.63999900000002,215.149994,215.149994,4065700
2016-03-15,214.270004,218.97000099999997,211.5,218.33999599999999,218.33999599999999,3180500
2016-03-16,218.0,222.580002,217.020004,221.92999300000002,221.92999300000002,3516700
2016-03-17,221.47000099999997,228.5,220.0,226.38000499999998,226.38000499999998,3782900
2016-03-18,229.100006,234.479996,228.059998,232.74000499999997,232.74000499999997,4711800
2016-03-21,235.33999599999999,239.88000499999998,235.0,238.32000699999998,238.32000699999998,5307800
2016-03-22,237.210007,238.99000499999997,232.559998,234.24000499999997,234.24000499999997,4316000
2016-03-23,232.36999500000002,234.729996,222.02999900000003,222.580002,222.580002,4948800
2016-03-24,215.77999900000003,228.88999900000002,215.0,227.75,227.75,4960900
2016-03-28,231.61000099999998,234.809998,225.0,230.25999500000003,230.25999500000003,3925700
2016-03-29,229.88999900000002,232.38000499999998,225.330002,230.13000499999998,230.13000499999998,4004900
2016-03-30,235.08999599999999,235.5,226.5,226.88999900000002,226.88999900000002,4033000
2016-03-31,229.33999599999999,237.419998,225.00999500000003,229.770004,229.770004,8012900
2016-04-01,244.830002,247.899994,233.25,237.58999599999999,237.58999599999999,15997500
2016-04-04,249.11999500000002,252.11999500000002,243.63999900000002,246.99000499999997,246.99000499999997,13475300
2016-04-05,240.5,256.559998,240.0,255.47000099999997,255.47000099999997,9948700
2016-04-06,253.97000099999997,267.73999,253.44999700000002,265.420013,265.420013,11679900
2016-04-07,266.450012,269.339996,254.50999500000003,257.200012,257.200012,8856200
2016-04-08,260.5,260.820007,248.020004,250.07000699999998,250.07000699999998,7363900
2016-04-11,251.0,258.98999,245.30000299999998,249.919998,249.919998,9161700
2016-04-12,249.5,251.80000299999998,243.63000499999998,247.82000699999998,247.82000699999998,5750800
2016-04-13,248.50999500000003,255.5,247.330002,254.52999900000003,254.52999900000003,4925600
2016-04-14,253.0,256.839996,251.05000299999998,251.86000099999998,251.86000099999998,4120000
2016-04-15,251.309998,254.600006,249.11999500000002,254.50999500000003,254.50999500000003,3752400
2016-04-18,252.229996,258.309998,251.66000400000001,253.88000499999998,253.88000499999998,4261800
2016-04-19,253.11999500000002,254.36999500000002,241.25,247.36999500000002,247.36999500000002,6357500
2016-04-20,246.25999500000003,253.66000400000001,241.5,249.97000099999997,249.97000099999997,5194100
2016-04-21,248.99000499999997,250.899994,246.91000400000001,248.289993,248.289993,2783100
2016-04-22,248.88999900000002,254.0,245.710007,253.75,253.75,3786300
2016-04-25,253.00999500000003,257.380005,250.75999500000003,251.82000699999998,251.82000699999998,3670300
2016-04-26,252.05000299999998,255.729996,249.38999900000002,253.74000499999997,253.74000499999997,3223800
2016-04-27,252.75,255.0,249.399994,251.47000099999997,251.47000099999997,3205800
2016-04-28,249.850006,253.42999300000002,247.440002,247.710007,247.710007,2519000
